redshift    gw_detected    grb_detected    DeltaOmega    telt_vr    lsstg    lssti    telt_ztf    ztfg    ztfi    telt_pstarrs    ps1::g    ps1::i    telt_ultrasat    ultrasat_custom    radio_afterglow    opt_afterglow    xray_afterglow    telt_vr_afterglow 
1.330    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.393    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.833    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.622    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.266    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.817    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.844    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
4.058    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.752    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.743    1    0    72.63    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0 
1.728    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.631    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
3.349    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.795    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.647    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.718    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
3.140    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.677    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.580    1    0    94.13    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0 
1.282    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.959    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.155    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.507    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.108    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.995    1    0    49.51    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0 
1.377    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.653    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.398    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.398    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.005    1    0    33.27    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0 
0.652    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.559    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
4.179    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.862    1    0    286.99    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0 
2.363    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.293    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.692    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.947    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.950    1    0    130.61    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0 
3.143    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.737    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.156    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
5.327    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.009    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.367    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.465    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.532    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.800    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.914    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.505    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.056    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.976    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.159    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
2.218    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.060    1    0    57.70    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0 
1.408    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.341    1    0    83.14    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0 
1.050    1    0    55.91    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0 
1.976    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.978    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
1.776    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.454    1    0    41.46    0    0    0    0    0    0    0    0    0    0.020833333333333332    0    0    0    0    0.0 
1.764    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.875    1    0    62.37    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0.0 
1.247    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
0.877    0    0    inf    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0 
